,lamda,beta,p,acc_inG,nmi_inG
72,10,0.1,3,0.66,0.649126061
42,1,0.1,6,0.6475,0.620061165
101,50,50,6,0.6475,0.586156158
79,10,0.5,6,0.645,0.586838229
36,1,0.1,3,0.6425,0.622162246
24,0.5,0.1,6,0.64,0.60649808
55,5,0.5,3,0.635,0.660158066
60,5,0.1,6,0.6275,0.604573573
62,5,1,6,0.62,0.620866379
66,5,0.1,9,0.62,0.613643925
43,1,0.5,6,0.615,0.637088391
80,10,1,6,0.615,0.582784354
91,50,0.5,3,0.615,0.636854575
31,0.5,0.5,9,0.6125,0.600374935
54,5,0.1,3,0.6125,0.618957738
13,0.1,0.5,9,0.61,0.577393917
2,0.1,1,3,0.6075,0.575625026
34,0.5,10,9,0.6075,0.594970851
48,1,0.1,9,0.6075,0.600245434
98,50,1,6,0.6075,0.561915849
30,0.5,0.1,9,0.605,0.606474019
35,0.5,50,9,0.605,0.594658034
97,50,0.5,6,0.605,0.598770336
73,10,0.5,3,0.6025,0.606902713
83,10,50,6,0.6025,0.605584299
19,0.5,0.5,3,0.6,0.571802526
28,0.5,10,6,0.6,0.574059011
44,1,1,6,0.6,0.591517016
41,1,50,3,0.5975,0.591456704
32,0.5,1,9,0.595,0.58788696
78,10,0.1,6,0.595,0.626582324
0,0.1,0.1,3,0.5925,0.603021155
56,5,1,3,0.59,0.613249155
68,5,1,9,0.59,0.542984308
99,50,5,6,0.59,0.572145674
1,0.1,0.5,3,0.5875,0.558537099
33,0.5,5,9,0.585,0.576898267
46,1,10,6,0.585,0.601750564
114,100,0.1,6,0.585,0.603427757
49,1,0.5,9,0.5825,0.600741213
115,100,0.5,6,0.5825,0.606350467
9,0.1,5,6,0.5775,0.561852524
12,0.1,0.1,9,0.5775,0.558373425
17,0.1,50,9,0.5775,0.538116853
52,1,10,9,0.575,0.543343534
94,50,10,3,0.575,0.552332877
96,50,0.1,6,0.575,0.583049777
123,100,5,9,0.575,0.561291748
63,5,5,6,0.5725,0.568384265
14,0.1,1,9,0.57,0.54577084
18,0.5,0.1,3,0.57,0.607011618
4,0.1,10,3,0.5675,0.563441468
7,0.1,0.5,6,0.565,0.549087973
110,100,1,3,0.565,0.61330708
25,0.5,0.5,6,0.5625,0.584620566
64,5,10,6,0.5625,0.54049691
20,0.5,1,3,0.56,0.570639412
45,1,5,6,0.56,0.541778245
74,10,1,3,0.56,0.622347189
8,0.1,1,6,0.5575,0.552512807
108,100,0.1,3,0.5575,0.605846331
109,100,0.5,3,0.5575,0.571320911
10,0.1,10,6,0.555,0.533216193
27,0.5,5,6,0.555,0.584300871
67,5,0.5,9,0.555,0.543845604
111,100,5,3,0.55,0.55666717
16,0.1,10,9,0.5475,0.538913766
22,0.5,10,3,0.5475,0.525217187
51,1,5,9,0.5475,0.562260251
89,10,50,9,0.5475,0.545163183
105,50,5,9,0.5475,0.51519496
116,100,1,6,0.5475,0.573983244
21,0.5,5,3,0.545,0.585943346
5,0.1,50,3,0.54,0.527174098
29,0.5,50,6,0.5375,0.547961099
38,1,1,3,0.5375,0.572105566
47,1,50,6,0.5325,0.521711069
58,5,10,3,0.5325,0.526919257
86,10,1,9,0.5325,0.546734167
61,5,0.5,6,0.53,0.549312235
102,50,0.1,9,0.53,0.587705966
118,100,10,6,0.53,0.526119857
26,0.5,1,6,0.5275,0.553187489
37,1,0.5,3,0.5275,0.559709937
50,1,1,9,0.5275,0.535714682
70,5,10,9,0.5275,0.542444049
125,100,50,9,0.5275,0.51292797
40,1,10,3,0.525,0.530153837
85,10,0.5,9,0.525,0.520231545
113,100,50,3,0.525,0.513453118
76,10,10,3,0.5225,0.564809291
100,50,10,6,0.5225,0.49931559
117,100,5,6,0.5225,0.568685808
122,100,1,9,0.5225,0.548074266
53,1,50,9,0.52,0.532332841
84,10,0.1,9,0.52,0.589554633
82,10,10,6,0.5175,0.568516823
121,100,0.5,9,0.5175,0.592863533
6,0.1,0.1,6,0.515,0.546977347
23,0.5,50,3,0.515,0.502766487
87,10,5,9,0.515,0.525945159
112,100,10,3,0.515,0.534447043
120,100,0.1,9,0.515,0.577176039
57,5,5,3,0.5125,0.551814256
71,5,50,9,0.5125,0.512566086
103,50,0.5,9,0.5125,0.529791385
92,50,1,3,0.51,0.506697845
77,10,50,3,0.5075,0.511080366
65,5,50,6,0.505,0.515182057
3,0.1,5,3,0.5025,0.471893556
88,10,10,9,0.4975,0.527749068
15,0.1,5,9,0.495,0.515301989
39,1,5,3,0.4875,0.529671761
104,50,1,9,0.4875,0.535899929
69,5,5,9,0.485,0.526373008
81,10,5,6,0.4825,0.517880786
11,0.1,50,6,0.48,0.477847992
90,50,0.1,3,0.4775,0.558256178
59,5,50,3,0.475,0.51364558
75,10,5,3,0.4725,0.523434677
124,100,10,9,0.4725,0.487525085
95,50,50,3,0.47,0.50966104
93,50,5,3,0.4675,0.500796378
107,50,50,9,0.465,0.481016869
106,50,10,9,0.455,0.49480673
119,100,50,6,0.4475,0.500638503
