,lamda,beta,p,acc_inL,nmi_inL
118,100,10,6,0.533333333,0.679016094
99,50,5,6,0.527777778,0.690922816
48,1,0.1,9,0.513888889,0.628588983
80,10,1,6,0.502777778,0.663554702
24,0.5,0.1,6,0.497222222,0.660789383
62,5,1,6,0.494444444,0.642706531
84,10,0.1,9,0.494444444,0.625536379
67,5,0.5,9,0.491666667,0.634357858
66,5,0.1,9,0.488888889,0.608947749
86,10,1,9,0.486111111,0.618822991
87,10,5,9,0.486111111,0.630089669
94,50,10,3,0.483333333,0.601311824
12,0.1,0.1,9,0.480555556,0.614898954
30,0.5,0.1,9,0.480555556,0.626158051
49,1,0.5,9,0.477777778,0.634188883
60,5,0.1,6,0.472222222,0.64783281
79,10,0.5,6,0.472222222,0.655244613
78,10,0.1,6,0.466666667,0.629329995
96,50,0.1,6,0.466666667,0.63005669
125,100,50,9,0.466666667,0.59425966
32,0.5,1,9,0.463888889,0.597254885
42,1,0.1,6,0.463888889,0.6528928
74,10,1,3,0.463888889,0.644629518
111,100,5,3,0.463888889,0.629204512
115,100,0.5,6,0.463888889,0.619118702
121,100,0.5,9,0.463888889,0.591063544
124,100,10,9,0.463888889,0.607331472
85,10,0.5,9,0.461111111,0.60307086
0,0.1,0.1,3,0.458333333,0.54491046
18,0.5,0.1,3,0.458333333,0.604757155
68,5,1,9,0.458333333,0.629251419
104,50,1,9,0.458333333,0.597318033
7,0.1,0.5,6,0.455555556,0.573453424
50,1,1,9,0.455555556,0.602284008
100,50,10,6,0.455555556,0.655552177
114,100,0.1,6,0.455555556,0.618321709
31,0.5,0.5,9,0.452777778,0.64142612
51,1,5,9,0.452777778,0.562201466
75,10,5,3,0.452777778,0.595948775
98,50,1,6,0.452777778,0.611736995
6,0.1,0.1,6,0.45,0.611545921
63,5,5,6,0.45,0.605929933
105,50,5,9,0.45,0.586921172
69,5,5,9,0.447222222,0.598896316
116,100,1,6,0.447222222,0.602936563
122,100,1,9,0.447222222,0.585904745
19,0.5,0.5,3,0.444444444,0.579130772
73,10,0.5,3,0.444444444,0.64707448
37,1,0.5,3,0.441666667,0.597176476
97,50,0.5,6,0.441666667,0.605970906
36,1,0.1,3,0.438888889,0.629690152
82,10,10,6,0.438888889,0.608054738
101,50,50,6,0.438888889,0.568780145
102,50,0.1,9,0.438888889,0.576634033
123,100,5,9,0.438888889,0.579170369
33,0.5,5,9,0.436111111,0.518499926
44,1,1,6,0.436111111,0.614088692
52,1,10,9,0.436111111,0.539898804
61,5,0.5,6,0.436111111,0.64226986
120,100,0.1,9,0.436111111,0.575023707
55,5,0.5,3,0.433333333,0.600467203
72,10,0.1,3,0.433333333,0.63276827
81,10,5,6,0.433333333,0.594188464
88,10,10,9,0.433333333,0.556519659
110,100,1,3,0.433333333,0.624134144
117,100,5,6,0.433333333,0.60232703
103,50,0.5,9,0.430555556,0.563321993
14,0.1,1,9,0.427777778,0.541896042
92,50,1,3,0.427777778,0.597069677
112,100,10,3,0.427777778,0.604866838
43,1,0.5,6,0.425,0.600263683
70,5,10,9,0.425,0.540050748
91,50,0.5,3,0.425,0.621039451
109,100,0.5,3,0.425,0.601556187
25,0.5,0.5,6,0.422222222,0.581858869
90,50,0.1,3,0.422222222,0.624888382
13,0.1,0.5,9,0.419444444,0.552577869
54,5,0.1,3,0.419444444,0.650560173
26,0.5,1,6,0.413888889,0.576923782
106,50,10,9,0.413888889,0.586562056
107,50,50,9,0.413888889,0.545854163
45,1,5,6,0.411111111,0.52799034
46,1,10,6,0.408333333,0.513163227
71,5,50,9,0.408333333,0.542572282
76,10,10,3,0.408333333,0.50689957
93,50,5,3,0.408333333,0.575792868
20,0.5,1,3,0.405555556,0.533869484
8,0.1,1,6,0.402777778,0.543262731
64,5,10,6,0.4,0.526340685
89,10,50,9,0.4,0.526974118
108,100,0.1,3,0.4,0.593560156
113,100,50,3,0.4,0.55760286
2,0.1,1,3,0.397222222,0.499478412
119,100,50,6,0.397222222,0.54990017
38,1,1,3,0.394444444,0.521403649
56,5,1,3,0.394444444,0.550346938
16,0.1,10,9,0.391666667,0.458290277
15,0.1,5,9,0.388888889,0.463020001
35,0.5,50,9,0.388888889,0.476324872
1,0.1,0.5,3,0.386111111,0.466464727
39,1,5,3,0.383333333,0.494891125
58,5,10,3,0.380555556,0.511525922
34,0.5,10,9,0.377777778,0.481524568
53,1,50,9,0.377777778,0.487057356
27,0.5,5,6,0.369444444,0.491413592
83,10,50,6,0.369444444,0.522254478
29,0.5,50,6,0.363888889,0.430140629
28,0.5,10,6,0.355555556,0.475399147
3,0.1,5,3,0.352777778,0.409771361
9,0.1,5,6,0.352777778,0.439281941
47,1,50,6,0.352777778,0.4081735
57,5,5,3,0.352777778,0.505540523
65,5,50,6,0.352777778,0.436478743
23,0.5,50,3,0.35,0.38899738
10,0.1,10,6,0.347222222,0.41629261
40,1,10,3,0.347222222,0.474471605
11,0.1,50,6,0.333333333,0.373608443
21,0.5,5,3,0.327777778,0.420821157
77,10,50,3,0.322222222,0.411112447
95,50,50,3,0.322222222,0.467936347
41,1,50,3,0.316666667,0.365517099
22,0.5,10,3,0.311111111,0.383691057
59,5,50,3,0.311111111,0.429298215
17,0.1,50,9,0.308333333,0.366622632
5,0.1,50,3,0.286111111,0.3425335
4,0.1,10,3,0.283333333,0.364938861
